# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
2.698580 1.677450 4.094570 79.884003 0.251500 0.000000 62 1 62
2.698040 1.678080 4.096390 80.388000 0.251500 0.000000 62 1 62
2.698100 1.678010 4.096780 80.891998 0.251500 0.000000 62 1 62
2.698450 1.678290 4.096840 81.396004 0.251500 0.000000 62 1 62
2.698900 1.678760 4.096580 81.900002 0.251500 0.000000 62 1 62
2.698630 1.678860 4.097250 82.403999 0.251500 0.000000 62 1 62
2.698080 1.678840 4.098020 82.907997 0.251500 0.000000 62 1 62
2.697500 1.678790 4.098500 83.412003 0.251500 0.000000 62 1 62
2.696920 1.678530 4.098700 83.916000 0.251500 0.000000 62 1 62
2.696570 1.678110 4.098540 84.419998 0.251500 0.000000 62 1 62
2.696640 1.677630 4.098050 84.924004 0.251500 0.000000 62 1 62
2.696640 1.676950 4.097000 85.428001 0.251500 0.000000 62 1 62
2.696520 1.676310 4.095680 85.931999 0.251500 0.000000 62 1 62
2.696150 1.676180 4.094760 86.435997 0.251500 0.000000 62 1 62
2.695520 1.676400 4.093020 86.940002 0.251500 0.000000 62 1 62
2.694910 1.676960 4.091200 87.444000 0.251500 0.000000 62 1 62
2.694500 1.677300 4.089040 87.947998 0.251500 0.000000 62 1 62
2.694210 1.677620 4.086820 88.452003 0.251500 0.000000 62 1 62
2.693950 1.678050 4.084890 88.956001 0.251500 0.000000 62 1 62
2.693720 1.677990 4.082840 89.459999 0.251500 0.000000 62 1 62
2.693500 1.677600 4.081240 89.963997 0.251500 0.000000 62 1 62
2.693150 1.677540 4.080510 90.468002 0.251500 0.000000 62 1 62
2.692330 1.677690 4.080490 90.972000 0.251500 0.000000 62 1 62
2.691420 1.677990 4.081240 91.475998 0.251500 0.000000 62 1 62
2.691200 1.678480 4.083810 91.980003 0.251500 0.000000 62 1 62
2.691700 1.679030 4.089870 92.484001 0.251500 0.000000 62 1 62
2.692740 1.679530 4.098860 92.987999 0.251500 0.000000 62 1 62
2.694030 1.680480 4.114970 93.491997 0.251500 0.000000 62 1 62
2.694070 1.682020 4.110400 93.996002 0.251500 0.000000 62 1 62
2.695680 1.682390 4.149840 94.500000 0.251500 0.000000 4 1 62
2.695950 1.683290 4.170200 95.003998 0.251500 0.000000 4 1 62
2.695860 1.683870 4.185160 95.508003 0.251500 0.000000 4 1 62
2.694150 1.684600 4.201120 96.012001 0.251500 0.000000 4 1 62
2.692040 1.685150 4.215430 96.515999 0.251500 0.000000 4 1 62
2.690320 1.685370 4.225220 97.020004 0.251500 0.000000 4 1 62
2.688550 1.685440 4.234220 97.524002 0.251500 0.000000 4 1 62
2.687450 1.685470 4.241020 98.028000 0.251500 0.000000 4 1 62
2.687630 1.685620 4.244950 98.531998 0.251500 0.000000 4 1 62
2.688030 1.686100 4.247670 99.036003 0.251500 0.000000 4 1 62
2.688430 1.686640 4.248310 99.540001 0.251500 0.000000 4 1 62
2.667790 1.474800 3.453600 0.252000 0.754500 0.000000 15 1 62
2.668160 1.472580 3.451810 0.756000 0.754500 0.000000 15 1 62
2.668900 1.469580 3.448420 1.260000 0.754500 0.000000 15 1 62
2.669170 1.468740 3.447260 1.764000 0.754500 0.000000 15 1 62
2.670110 1.466750 3.445720 2.268000 0.754500 0.000000 15 1 62
2.670960 1.465810 3.446470 2.772000 0.754500 0.000000 15 1 62
2.671230 1.465720 3.447470 3.276000 0.754500 0.000000 15 1 62
2.673000 1.465590 3.451580 3.780000 0.754500 0.000000 15 1 62
